Data opsamlet af Aarhus Universitet. Institut for Miljoevidenskab <br> Data er kvalitetskontrolleret til 1. april 2021. Data efter denne dato er ikke manuelt kontrolleret og kan indeholde fejl <br>For yderligere information se https://envs.au.dk/faglige-omraader/luftforurening-udledninger-og-effekter/luftforurening/ eller kontakt Thomas Ellermann tel@envs.au.dk <br> <br>Gasser: NO2: Kvælstofdioxid µg/m<sup>3</sup>. NOx: Kvælstofoxider µg/m<sup>3</sup>. O3: Ozon µg/m<sup>3</sup>
Data fra Aalborg Tag
Recorded;NOx;NO2;O3;PM_2.5_Lvs;comment
15-01-2021 00:00:00;3.86;3.88;52.79;6.8;Data er manuelt kontrolleret
14-01-2021 23:30:00;3.65;3.1;52.95;;Data er manuelt kontrolleret
14-01-2021 23:00:00;2.98;3.4;51.27;;Data er manuelt kontrolleret
14-01-2021 22:30:00;3.65;3.48;50.83;;Data er manuelt kontrolleret
14-01-2021 22:00:00;4.55;4.48;49.77;;Data er manuelt kontrolleret
14-01-2021 21:30:00;4.48;4.36;50.71;;Data er manuelt kontrolleret
14-01-2021 21:00:00;5.05;4.63;51.41;;Data er manuelt kontrolleret
14-01-2021 20:30:00;4.4;4.02;52.51;;Data er manuelt kontrolleret
14-01-2021 20:00:00;3.94;3.88;52.57;;Data er manuelt kontrolleret
14-01-2021 19:30:00;5.34;4.88;52.69;;Data er manuelt kontrolleret
14-01-2021 19:00:00;3.6;3.61;55.16;;Data er manuelt kontrolleret
14-01-2021 18:30:00;5.6;5.53;53.9;;Data er manuelt kontrolleret
14-01-2021 18:00:00;5.91;5.01;53.82;;Data er manuelt kontrolleret
14-01-2021 17:30:00;7.46;6.48;51.09;;Data er manuelt kontrolleret
14-01-2021 17:00:00;7.57;7.1;48.68;;Data er manuelt kontrolleret
14-01-2021 16:30:00;11.82;10.19;46.64;;Data er manuelt kontrolleret
14-01-2021 16:00:00;9.49;8.4;47.1;;Data er manuelt kontrolleret
14-01-2021 15:30:00;10.69;9.49;45.02;;Data er manuelt kontrolleret
14-01-2021 15:00:00;11.19;10.04;43.71;;Data er manuelt kontrolleret
14-01-2021 14:30:00;11;9.14;44.86;;Data er manuelt kontrolleret
14-01-2021 14:00:00;9.03;7.65;47.3;;Data er manuelt kontrolleret
14-01-2021 13:30:00;8.84;7.1;47.14;;Data er manuelt kontrolleret
14-01-2021 13:00:00;8.4;7.38;46.42;;Data er manuelt kontrolleret
14-01-2021 12:30:00;9.05;7.57;45.32;;Data er manuelt kontrolleret
14-01-2021 12:00:00;8.19;7.17;45.26;;Data er manuelt kontrolleret
14-01-2021 11:30:00;12.41;10.16;42.31;;Data er manuelt kontrolleret
14-01-2021 11:00:00;10.21;8.32;43.11;;Data er manuelt kontrolleret
14-01-2021 10:30:00;10.5;8.72;41.75;;Data er manuelt kontrolleret
14-01-2021 10:00:00;10.71;9.16;40.67;;Data er manuelt kontrolleret
14-01-2021 09:30:00;9.52;8.49;41.39;;Data er manuelt kontrolleret
14-01-2021 09:00:00;9.07;7.78;42.51;;Data er manuelt kontrolleret
14-01-2021 08:30:00;9.64;8.97;42.05;;Data er manuelt kontrolleret
14-01-2021 08:00:00;13.02;9.72;41.63;;Data er manuelt kontrolleret
14-01-2021 07:30:00;17.33;11.95;39.45;;Data er manuelt kontrolleret
14-01-2021 07:00:00;9.94;8.3;42.31;;Data er manuelt kontrolleret
14-01-2021 06:30:00;10.23;8.01;42.55;;Data er manuelt kontrolleret
14-01-2021 05:30:00;5.45;4.09;44.26;;Data er manuelt kontrolleret
14-01-2021 05:00:00;4.42;3.71;44.76;;Data er manuelt kontrolleret
14-01-2021 04:30:00;4.72;3.69;44.6;;Data er manuelt kontrolleret
14-01-2021 04:00:00;4.51;3.67;44.34;;Data er manuelt kontrolleret
14-01-2021 03:30:00;4.07;3.17;44.56;;Data er manuelt kontrolleret
14-01-2021 03:00:00;3.4;2.93;;;Data er manuelt kontrolleret
14-01-2021 02:30:00;3.21;2.91;42.89;;Data er manuelt kontrolleret
14-01-2021 02:00:00;4.32;3.4;42.25;;Data er manuelt kontrolleret
14-01-2021 01:30:00;3.63;3.02;42.49;;Data er manuelt kontrolleret
14-01-2021 01:00:00;3.73;2.91;41.71;;Data er manuelt kontrolleret
14-01-2021 00:30:00;3.65;2.75;41.29;;Data er manuelt kontrolleret
14-01-2021 00:00:00;3.63;3.06;41.25;6.29;Data er manuelt kontrolleret
13-01-2021 23:30:00;4;3.29;39.02;;Data er manuelt kontrolleret
13-01-2021 23:00:00;5.07;4.26;38.86;;Data er manuelt kontrolleret
13-01-2021 22:30:00;4.67;4.28;38.76;;Data er manuelt kontrolleret
13-01-2021 22:00:00;5.51;4.84;37.92;;Data er manuelt kontrolleret
13-01-2021 21:30:00;6.31;5.47;36.38;;Data er manuelt kontrolleret
13-01-2021 21:00:00;6.45;5.28;38.28;;Data er manuelt kontrolleret
13-01-2021 20:30:00;5.81;4.86;43.81;;Data er manuelt kontrolleret
13-01-2021 20:00:00;5.07;3.77;49.93;;Data er manuelt kontrolleret
13-01-2021 19:30:00;4.46;3.73;54.96;;Data er manuelt kontrolleret
13-01-2021 19:00:00;5.24;3.94;60.53;;Data er manuelt kontrolleret
13-01-2021 18:30:00;5.09;4.09;63.02;;Data er manuelt kontrolleret
13-01-2021 18:00:00;5.55;4.42;63.54;;Data er manuelt kontrolleret
13-01-2021 17:30:00;6.33;4.9;64.78;;Data er manuelt kontrolleret
13-01-2021 17:00:00;7.15;5.83;62.78;;Data er manuelt kontrolleret
13-01-2021 16:30:00;8.4;6.62;64.08;;Data er manuelt kontrolleret
13-01-2021 16:00:00;10.88;9.77;60.03;;Data er manuelt kontrolleret
13-01-2021 15:30:00;13.73;11.13;57.56;;Data er manuelt kontrolleret
13-01-2021 15:00:00;15.24;12.83;53.94;;Data er manuelt kontrolleret
13-01-2021 14:30:00;15.34;12.3;51.77;;Data er manuelt kontrolleret
13-01-2021 14:00:00;13.71;11.15;50.27;;Data er manuelt kontrolleret
13-01-2021 13:30:00;11.74;9.22;53.07;;Data er manuelt kontrolleret
13-01-2021 13:00:00;12.03;9.35;52.11;;Data er manuelt kontrolleret
13-01-2021 12:30:00;7.61;6.06;55.32;;Data er manuelt kontrolleret
13-01-2021 12:00:00;7.76;6.43;55.98;;Data er manuelt kontrolleret
13-01-2021 11:30:00;8.91;6.69;54.2;;Data er manuelt kontrolleret
13-01-2021 11:00:00;8.26;5.93;53.82;;Data er manuelt kontrolleret
13-01-2021 10:30:00;7.25;5.37;52.81;;Data er manuelt kontrolleret
13-01-2021 10:00:00;9.96;7.44;50.09;;Data er manuelt kontrolleret
13-01-2021 09:30:00;10.06;7.8;49.59;;Data er manuelt kontrolleret
13-01-2021 09:00:00;13.27;10.48;45.02;;Data er manuelt kontrolleret
13-01-2021 08:30:00;17.19;14.4;47.4;;Data er manuelt kontrolleret
13-01-2021 08:00:00;28.25;23.52;42.85;;Data er manuelt kontrolleret
13-01-2021 07:30:00;27.1;23.54;44.76;;Data er manuelt kontrolleret
13-01-2021 07:00:00;31.52;28.04;35.86;;Data er manuelt kontrolleret
13-01-2021 06:30:00;14.11;12.93;52.91;;Data er manuelt kontrolleret
13-01-2021 06:00:00;14.8;13.71;54.24;;Data er manuelt kontrolleret
13-01-2021 05:30:00;14.94;14.29;52.13;;Data er manuelt kontrolleret
13-01-2021 04:30:00;7;7.32;62.63;;Data er manuelt kontrolleret
13-01-2021 04:00:00;1.2;1.15;71.47;;Data er manuelt kontrolleret
13-01-2021 03:30:00;0.73;0.48;74.72;;Data er manuelt kontrolleret
13-01-2021 03:00:00;0.5;0.38;73.76;;Data er manuelt kontrolleret
13-01-2021 02:30:00;0.73;0.31;74.12;;Data er manuelt kontrolleret
13-01-2021 02:00:00;0.59;0.71;;;Data er manuelt kontrolleret
13-01-2021 01:30:00;0.55;0.61;74.12;;Data er manuelt kontrolleret
13-01-2021 01:00:00;0.8;0.61;74.3;;Data er manuelt kontrolleret
13-01-2021 00:30:00;0.82;0.57;74.48;;Data er manuelt kontrolleret
13-01-2021 00:00:00;0.71;0.36;74.58;3.97;Data er manuelt kontrolleret
12-01-2021 23:30:00;1.01;0.71;73.94;;Data er manuelt kontrolleret
12-01-2021 23:00:00;1.11;0.82;74.14;;Data er manuelt kontrolleret
12-01-2021 22:30:00;1.55;1.17;74.42;;Data er manuelt kontrolleret
12-01-2021 22:00:00;2.07;1.66;73.48;;Data er manuelt kontrolleret
12-01-2021 21:30:00;2.1;1.89;73.2;;Data er manuelt kontrolleret
12-01-2021 21:00:00;1.86;1.45;73.1;;Data er manuelt kontrolleret
12-01-2021 20:30:00;2.16;2.03;72.08;;Data er manuelt kontrolleret
12-01-2021 20:00:00;2.3;2.24;71.94;;Data er manuelt kontrolleret
12-01-2021 19:30:00;3.23;3.02;70.27;;Data er manuelt kontrolleret
12-01-2021 19:00:00;2.95;2.33;71.33;;Data er manuelt kontrolleret
12-01-2021 18:30:00;3.69;3.29;70.79;;Data er manuelt kontrolleret
12-01-2021 18:00:00;4.04;3.81;70.19;;Data er manuelt kontrolleret
12-01-2021 17:30:00;4.48;3.84;70.13;;Data er manuelt kontrolleret
12-01-2021 17:00:00;6.04;5.53;69.77;;Data er manuelt kontrolleret
12-01-2021 16:30:00;6.31;5.97;69.21;;Data er manuelt kontrolleret
12-01-2021 16:00:00;5.72;5.09;70.51;;Data er manuelt kontrolleret
12-01-2021 15:30:00;5.64;5.2;70.37;;Data er manuelt kontrolleret
12-01-2021 15:00:00;7.78;6.83;69.17;;Data er manuelt kontrolleret
12-01-2021 14:30:00;6.14;5.2;72.32;;Data er manuelt kontrolleret
12-01-2021 14:00:00;8.03;6.64;69.75;;Data er manuelt kontrolleret
12-01-2021 13:30:00;7.11;6.18;70.81;;Data er manuelt kontrolleret
12-01-2021 13:00:00;7.92;6.5;70.71;;Data er manuelt kontrolleret
12-01-2021 12:30:00;8.07;6.45;70.55;;Data er manuelt kontrolleret
12-01-2021 12:00:00;10.84;8.17;63.02;;Data er manuelt kontrolleret
12-01-2021 11:30:00;10.5;7.99;65.76;;Data er manuelt kontrolleret
12-01-2021 11:00:00;14.59;10.81;62.15;;Data er manuelt kontrolleret
12-01-2021 10:30:00;13.37;10.77;61.27;;Data er manuelt kontrolleret
12-01-2021 10:00:00;14.88;12.2;59.49;;Data er manuelt kontrolleret
12-01-2021 09:30:00;15.13;12.47;58.03;;Data er manuelt kontrolleret
12-01-2021 09:00:00;22.66;18.13;51.87;;Data er manuelt kontrolleret
12-01-2021 08:30:00;21.08;18.23;54.24;;Data er manuelt kontrolleret
12-01-2021 08:00:00;19.55;17.25;54.24;;Data er manuelt kontrolleret
12-01-2021 07:30:00;15.57;13.71;56.74;;Data er manuelt kontrolleret
12-01-2021 07:00:00;14.27;12.81;59.11;;Data er manuelt kontrolleret
12-01-2021 06:30:00;18.34;16.54;53.46;;Data er manuelt kontrolleret
12-01-2021 06:00:00;14.94;12.93;58.73;;Data er manuelt kontrolleret
12-01-2021 05:30:00;5.87;5.55;66.7;;Data er manuelt kontrolleret
12-01-2021 05:00:00;3.98;3.65;68.75;;Data er manuelt kontrolleret
12-01-2021 04:30:00;5.01;4.63;63.9;;Data er manuelt kontrolleret
12-01-2021 03:30:00;3.42;3.25;63.28;;Data er manuelt kontrolleret
12-01-2021 03:00:00;1.93;2.3;65.76;;Data er manuelt kontrolleret
12-01-2021 02:30:00;1.47;1.26;69.61;;Data er manuelt kontrolleret
12-01-2021 02:00:00;1.53;1.68;69.77;;Data er manuelt kontrolleret
12-01-2021 01:30:00;1.43;1.61;71.57;;Data er manuelt kontrolleret
12-01-2021 01:00:00;1.76;1.87;;;Data er manuelt kontrolleret
12-01-2021 00:30:00;1.76;2.05;68.19;;Data er manuelt kontrolleret
12-01-2021 00:00:00;2.47;2.41;65.54;3.62;Data er manuelt kontrolleret
11-01-2021 23:30:00;3.56;3.69;61.75;;Data er manuelt kontrolleret
11-01-2021 23:00:00;3.46;3.19;70.55;;Data er manuelt kontrolleret
11-01-2021 22:30:00;2.75;2.73;79.81;;Data er manuelt kontrolleret
11-01-2021 22:00:00;2.01;1.95;83.1;;Data er manuelt kontrolleret
11-01-2021 21:30:00;2.47;2.43;81.82;;Data er manuelt kontrolleret
11-01-2021 21:00:00;2.12;2.16;80.39;;Data er manuelt kontrolleret
11-01-2021 20:30:00;2.41;2.54;80.23;;Data er manuelt kontrolleret
11-01-2021 20:00:00;2.26;2.64;74.36;;Data er manuelt kontrolleret
11-01-2021 19:30:00;3.04;2.96;72.68;;Data er manuelt kontrolleret
